person_id,referent_id,relation_id,n,dot
COLLEY_CIBBER,ALEXANDER_POPE,akin_to,1,COLLEY_CIBBER -> ALEXANDER_POPE [color=green weight=1]
COLLEY_CIBBER,ALEXANDER_POPE,attacked,9,COLLEY_CIBBER -> ALEXANDER_POPE [color=red weight=81]
COLLEY_CIBBER,BARTON_BOOTH,akin_to,1,COLLEY_CIBBER -> BARTON_BOOTH [color=green weight=1]
COLLEY_CIBBER,CAIUS_GABRIEL_CIBBER,akin_to,2,COLLEY_CIBBER -> CAIUS_GABRIEL_CIBBER [color=green weight=4]
COLLEY_CIBBER,CAMILLO_QUERNO,akin_to,2,COLLEY_CIBBER -> CAMILLO_QUERNO [color=green weight=4]
COLLEY_CIBBER,CARDELL_GOODMAN,akin_to,1,COLLEY_CIBBER -> CARDELL_GOODMAN [color=green weight=1]
COLLEY_CIBBER,CHARLES_FLEETWOOD,akin_to,1,COLLEY_CIBBER -> CHARLES_FLEETWOOD [color=green weight=1]
COLLEY_CIBBER,DULNESS,akin_to,9,COLLEY_CIBBER -> DULNESS [color=green weight=81]
COLLEY_CIBBER,EDMUND_CURLL,akin_to,2,COLLEY_CIBBER -> EDMUND_CURLL [color=green weight=4]
COLLEY_CIBBER,ELKANAH_SETTLE,akin_to,3,COLLEY_CIBBER -> ELKANAH_SETTLE [color=green weight=9]
COLLEY_CIBBER,FRANCIS_ATTERBURY,dissimilar,1,COLLEY_CIBBER -> FRANCIS_ATTERBURY [color=orange weight=1]
COLLEY_CIBBER,GEORGE_ETHEREGE,akin_to,1,COLLEY_CIBBER -> GEORGE_ETHEREGE [color=green weight=1]
COLLEY_CIBBER,GEORGE_I,akin_to,1,COLLEY_CIBBER -> GEORGE_I [color=green weight=1]
COLLEY_CIBBER,GEORGE_II,akin_to,3,COLLEY_CIBBER -> GEORGE_II [color=green weight=9]
COLLEY_CIBBER,HENRY_JANSSEN,akin_to,1,COLLEY_CIBBER -> HENRY_JANSSEN [color=green weight=1]
COLLEY_CIBBER,ISAAC_NEWTON,dissimilar,1,COLLEY_CIBBER -> ISAAC_NEWTON [color=orange weight=1]
COLLEY_CIBBER,ISSAC_BARROW,dissimilar,1,COLLEY_CIBBER -> ISSAC_BARROW [color=orange weight=1]
COLLEY_CIBBER,JOHN_BANKS,akin_to,1,COLLEY_CIBBER -> JOHN_BANKS [color=green weight=1]
COLLEY_CIBBER,JOHN_DENNIS,akin_to,2,COLLEY_CIBBER -> JOHN_DENNIS [color=green weight=4]
COLLEY_CIBBER,JOHN_DRYDEN,attacked,1,COLLEY_CIBBER -> JOHN_DRYDEN [color=red weight=1]
COLLEY_CIBBER,JOHN_DRYDEN,dissimilar,1,COLLEY_CIBBER -> JOHN_DRYDEN [color=orange weight=1]
COLLEY_CIBBER,JOHN_FLETCHER,akin_to,1,COLLEY_CIBBER -> JOHN_FLETCHER [color=green weight=1]
COLLEY_CIBBER,JOHN_GARTH,dissimilar,1,COLLEY_CIBBER -> JOHN_GARTH [color=orange weight=1]
COLLEY_CIBBER,JOHN_HERVEY,akin_to,1,COLLEY_CIBBER -> JOHN_HERVEY [color=green weight=1]
COLLEY_CIBBER,JOHN_LOCKE,dissimilar,1,COLLEY_CIBBER -> JOHN_LOCKE [color=orange weight=1]
COLLEY_CIBBER,JOHN_OZELL,akin_to,2,COLLEY_CIBBER -> JOHN_OZELL [color=green weight=4]
COLLEY_CIBBER,JOSEPH_ADDISON,dissimilar,1,COLLEY_CIBBER -> JOSEPH_ADDISON [color=orange weight=1]
COLLEY_CIBBER,LAURENCE_EUSDEN,akin_to,3,COLLEY_CIBBER -> LAURENCE_EUSDEN [color=green weight=9]
COLLEY_CIBBER,LEWIS_THEOBALD,akin_to,3,COLLEY_CIBBER -> LEWIS_THEOBALD [color=green weight=9]
COLLEY_CIBBER,LORD_BISHOP_OF_LONDON,akin_to,1,COLLEY_CIBBER -> LORD_BISHOP_OF_LONDON [color=green weight=1]
COLLEY_CIBBER,MARTINUS_SCRIBLERUS,akin_to,2,COLLEY_CIBBER -> MARTINUS_SCRIBLERUS [color=green weight=4]
COLLEY_CIBBER,MATTHEW_PRIOR,attacked,1,COLLEY_CIBBER -> MATTHEW_PRIOR [color=red weight=1]
COLLEY_CIBBER,PHILIP_DORMER_STANHOPE,akin_to,1,COLLEY_CIBBER -> PHILIP_DORMER_STANHOPE [color=green weight=1]
COLLEY_CIBBER,PHILIP_DORMER_STANHOPE,attacked,1,COLLEY_CIBBER -> PHILIP_DORMER_STANHOPE [color=red weight=1]
COLLEY_CIBBER,RICHARD_BENTLEY,akin_to,2,COLLEY_CIBBER -> RICHARD_BENTLEY [color=green weight=4]
COLLEY_CIBBER,ROBERT_WALPOLE,akin_to,2,COLLEY_CIBBER -> ROBERT_WALPOLE [color=green weight=4]
COLLEY_CIBBER,STEPHEN_DUCK,akin_to,1,COLLEY_CIBBER -> STEPHEN_DUCK [color=green weight=1]
COLLEY_CIBBER,THOMAS_ARCHER,akin_to,1,COLLEY_CIBBER -> THOMAS_ARCHER [color=green weight=1]
COLLEY_CIBBER,THOMAS_COOKE,akin_to,1,COLLEY_CIBBER -> THOMAS_COOKE [color=green weight=1]
COLLEY_CIBBER,WILLIAM_BROOME,akin_to,1,COLLEY_CIBBER -> WILLIAM_BROOME [color=green weight=1]
COLLEY_CIBBER,WILLIAM_CONGREVE,dissimilar,1,COLLEY_CIBBER -> WILLIAM_CONGREVE [color=orange weight=1]
COLLEY_CIBBER,WILLIAM_TEMPLE,akin_to,1,COLLEY_CIBBER -> WILLIAM_TEMPLE [color=green weight=1]
EDMUND_CURLL,ABEL_EVANS,dissimilar,1,EDMUND_CURLL -> ABEL_EVANS [color=orange weight=1]
EDMUND_CURLL,ABEL_ROPER,akin_to,3,EDMUND_CURLL -> ABEL_ROPER [color=green weight=9]
EDMUND_CURLL,ALEXANDER_POPE,attacked,11,EDMUND_CURLL -> ALEXANDER_POPE [color=red weight=121]
EDMUND_CURLL,ALEXANDER_POPE,dissimilar,1,EDMUND_CURLL -> ALEXANDER_POPE [color=orange weight=1]
EDMUND_CURLL,AMBROSE_PHILLIPS,akin_to,1,EDMUND_CURLL -> AMBROSE_PHILLIPS [color=green weight=1]
EDMUND_CURLL,BERNARD_LINTOT,akin_to,5,EDMUND_CURLL -> BERNARD_LINTOT [color=green weight=25]
EDMUND_CURLL,BESALEEL_MORRIS,akin_to,3,EDMUND_CURLL -> BESALEEL_MORRIS [color=green weight=9]
EDMUND_CURLL,CHARLES_GILDON,akin_to,1,EDMUND_CURLL -> CHARLES_GILDON [color=green weight=1]
EDMUND_CURLL,CLOACINA,akin_to,1,EDMUND_CURLL -> CLOACINA [color=green weight=1]
EDMUND_CURLL,COLLEY_CIBBER,akin_to,1,EDMUND_CURLL -> COLLEY_CIBBER [color=green weight=1]
EDMUND_CURLL,COLLEY_CIBBER,dissimilar,1,EDMUND_CURLL -> COLLEY_CIBBER [color=orange weight=1]
EDMUND_CURLL,DANIEL_DEFOE,akin_to,1,EDMUND_CURLL -> DANIEL_DEFOE [color=green weight=1]
EDMUND_CURLL,EDWARD_WARD,akin_to,1,EDMUND_CURLL -> EDWARD_WARD [color=green weight=1]
EDMUND_CURLL,EDWARD_WARD,defended,1,EDMUND_CURLL -> EDWARD_WARD [color=blue weight=1]
EDMUND_CURLL,EDWARD_YOUNG,dissimilar,1,EDMUND_CURLL -> EDWARD_YOUNG [color=orange weight=1]
EDMUND_CURLL,ELIZABETH_THOMAS,akin_to,3,EDMUND_CURLL -> ELIZABETH_THOMAS [color=green weight=9]
EDMUND_CURLL,ELIZA_HAYWOOD,akin_to,2,EDMUND_CURLL -> ELIZA_HAYWOOD [color=green weight=4]
EDMUND_CURLL,GEORGE_DUCKETT,akin_to,1,EDMUND_CURLL -> GEORGE_DUCKETT [color=green weight=1]
EDMUND_CURLL,GEORGE_RIDPATH,akin_to,2,EDMUND_CURLL -> GEORGE_RIDPATH [color=green weight=4]
EDMUND_CURLL,GILES_JACOB,akin_to,1,EDMUND_CURLL -> GILES_JACOB [color=green weight=1]
EDMUND_CURLL,HENRY_CROMWELL,attacked,1,EDMUND_CURLL -> HENRY_CROMWELL [color=red weight=1]
EDMUND_CURLL,HENRY_CURLL,akin_to,1,EDMUND_CURLL -> HENRY_CURLL [color=green weight=1]
EDMUND_CURLL,ISAAC_BARROW,dissimilar,1,EDMUND_CURLL -> ISAAC_BARROW [color=orange weight=1]
EDMUND_CURLL,ISAAC_NEWTON,dissimilar,1,EDMUND_CURLL -> ISAAC_NEWTON [color=orange weight=1]
EDMUND_CURLL,JAMESMOORE_SMITH,akin_to,1,EDMUND_CURLL -> JAMESMOORE_SMITH [color=green weight=1]
EDMUND_CURLL,JAMES_MOORE_SMYTHE,akin_to,1,EDMUND_CURLL -> JAMES_MOORE_SMYTHE [color=green weight=1]
EDMUND_CURLL,JOHN_ARBUTHNOT,attacked,1,EDMUND_CURLL -> JOHN_ARBUTHNOT [color=red weight=1]
EDMUND_CURLL,JOHN_ATTERBURY,dissimilar,1,EDMUND_CURLL -> JOHN_ATTERBURY [color=orange weight=1]
EDMUND_CURLL,JOHN_DENNIS,akin_to,8,EDMUND_CURLL -> JOHN_DENNIS [color=green weight=64]
EDMUND_CURLL,JOHN_DRYDEN,dissimilar,1,EDMUND_CURLL -> JOHN_DRYDEN [color=orange weight=1]
EDMUND_CURLL,JOHN_DUNTON,akin_to,2,EDMUND_CURLL -> JOHN_DUNTON [color=green weight=4]
EDMUND_CURLL,JOHN_DURANT_BREVAL,akin_to,3,EDMUND_CURLL -> JOHN_DURANT_BREVAL [color=green weight=9]
EDMUND_CURLL,JOHN_GAY,attacked,4,EDMUND_CURLL -> JOHN_GAY [color=red weight=16]
EDMUND_CURLL,JOHN_HENLEY,akin_to,1,EDMUND_CURLL -> JOHN_HENLEY [color=green weight=1]
EDMUND_CURLL,JOHN_LOCKE,dissimilar,1,EDMUND_CURLL -> JOHN_LOCKE [color=orange weight=1]
EDMUND_CURLL,JOHN_OLDMIXON,akin_to,2,EDMUND_CURLL -> JOHN_OLDMIXON [color=green weight=4]
EDMUND_CURLL,JOHN_TUTCHIN,akin_to,2,EDMUND_CURLL -> JOHN_TUTCHIN [color=green weight=4]
EDMUND_CURLL,JONATHAN_SWIFT,attacked,2,EDMUND_CURLL -> JONATHAN_SWIFT [color=red weight=4]
EDMUND_CURLL,JONATHAN_SWIFT,dissimilar,2,EDMUND_CURLL -> JONATHAN_SWIFT [color=orange weight=4]
EDMUND_CURLL,JOSEPH_ADDISON,attacked,2,EDMUND_CURLL -> JOSEPH_ADDISON [color=red weight=4]
EDMUND_CURLL,JOSEPH_ADDISON,defended,1,EDMUND_CURLL -> JOSEPH_ADDISON [color=blue weight=1]
EDMUND_CURLL,JOSEPH_ADDISON,dissimilar,1,EDMUND_CURLL -> JOSEPH_ADDISON [color=orange weight=1]
EDMUND_CURLL,JOSEPH_GAY,akin_to,3,EDMUND_CURLL -> JOSEPH_GAY [color=green weight=9]
EDMUND_CURLL,JOSEPH_GAY_AKA_JOHN_DURANT_BREVAL,akin_to,1,EDMUND_CURLL -> JOSEPH_GAY_AKA_JOHN_DURANT_BREVAL [color=green weight=1]
EDMUND_CURLL,LADY_MARY_WORTLEY_MONTAGU,akin_to,2,EDMUND_CURLL -> LADY_MARY_WORTLEY_MONTAGU [color=green weight=4]
EDMUND_CURLL,LEONARD_WELSTED,akin_to,2,EDMUND_CURLL -> LEONARD_WELSTED [color=green weight=4]
EDMUND_CURLL,LEWIS_THEOBALD,akin_to,4,EDMUND_CURLL -> LEWIS_THEOBALD [color=green weight=16]
EDMUND_CURLL,LEWIS_THEOBALD,attacked,2,EDMUND_CURLL -> LEWIS_THEOBALD [color=red weight=4]
EDMUND_CURLL,LEWIS_THEOBALD,dissimilar,1,EDMUND_CURLL -> LEWIS_THEOBALD [color=orange weight=1]
EDMUND_CURLL,MATTHEW_CONCANEN,akin_to,2,EDMUND_CURLL -> MATTHEW_CONCANEN [color=green weight=4]
EDMUND_CURLL,MATTHEW_PRIOR,attacked,3,EDMUND_CURLL -> MATTHEW_PRIOR [color=red weight=9]
EDMUND_CURLL,RICHARD_BLACKMORE,akin_to,3,EDMUND_CURLL -> RICHARD_BLACKMORE [color=green weight=9]
EDMUND_CURLL,SAMUEL_GARTH,attacked,1,EDMUND_CURLL -> SAMUEL_GARTH [color=red weight=1]
EDMUND_CURLL,SAMUEL_GARTH,dissimilar,1,EDMUND_CURLL -> SAMUEL_GARTH [color=orange weight=1]
EDMUND_CURLL,THOMAS_COOKE,akin_to,3,EDMUND_CURLL -> THOMAS_COOKE [color=green weight=9]
EDMUND_CURLL,THOMAS_OSBORNE,akin_to,1,EDMUND_CURLL -> THOMAS_OSBORNE [color=green weight=1]
EDMUND_CURLL,THOMAS_WARNER,akin_to,1,EDMUND_CURLL -> THOMAS_WARNER [color=green weight=1]
EDMUND_CURLL,TOUSSAINT_EDMOND_DE_SAINTMARD,dissimilar,1,EDMUND_CURLL -> TOUSSAINT_EDMOND_DE_SAINTMARD [color=orange weight=1]
EDMUND_CURLL,WHITE_KENNETH,attacked,1,EDMUND_CURLL -> WHITE_KENNETH [color=red weight=1]
EDMUND_CURLL,WILLIAM_BOND,akin_to,1,EDMUND_CURLL -> WILLIAM_BOND [color=green weight=1]
EDMUND_CURLL,WILLIAM_BOND_,akin_to,2,EDMUND_CURLL -> WILLIAM_BOND_ [color=green weight=4]
EDMUND_CURLL,WILLIAM_CAVENDISH,attacked,1,EDMUND_CURLL -> WILLIAM_CAVENDISH [color=red weight=1]
EDMUND_CURLL,WILLIAM_CONGREVE,attacked,1,EDMUND_CURLL -> WILLIAM_CONGREVE [color=red weight=1]
EDMUND_CURLL,WILLIAM_CONGREVE,dissimilar,1,EDMUND_CURLL -> WILLIAM_CONGREVE [color=orange weight=1]
EDMUND_CURLL,WILLIAM_MEARS,akin_to,2,EDMUND_CURLL -> WILLIAM_MEARS [color=green weight=4]
EDMUND_CURLL,WILLIAM_WILKINS,akin_to,1,EDMUND_CURLL -> WILLIAM_WILKINS [color=green weight=1]
EDMUND_CURLL,WILLIAM_WYCHERLEY,defended,1,EDMUND_CURLL -> WILLIAM_WYCHERLEY [color=blue weight=1]
ELIZA_HAYWOOD,ANNE_TANNEGUYLE_FEVRE_DACIER,akin_to,1,ELIZA_HAYWOOD -> ANNE_TANNEGUYLE_FEVRE_DACIER [color=green weight=1]
ELIZA_HAYWOOD,EDMUND_CURLL,akin_to,1,ELIZA_HAYWOOD -> EDMUND_CURLL [color=green weight=1]
ELIZA_HAYWOOD,EDWARD_WARD,akin_to,1,ELIZA_HAYWOOD -> EDWARD_WARD [color=green weight=1]
ELIZA_HAYWOOD,ELISHA_KIRKALL,akin_to,1,ELIZA_HAYWOOD -> ELISHA_KIRKALL [color=green weight=1]
ELIZA_HAYWOOD,JOHN_DENNIS,akin_to,1,ELIZA_HAYWOOD -> JOHN_DENNIS [color=green weight=1]
ELIZA_HAYWOOD,JOHN_OLDMIXON,akin_to,1,ELIZA_HAYWOOD -> JOHN_OLDMIXON [color=green weight=1]
ELIZA_HAYWOOD,LEONARD_WELSTED,akin_to,1,ELIZA_HAYWOOD -> LEONARD_WELSTED [color=green weight=1]
ELIZA_HAYWOOD,LEWIS_THEOBALD,akin_to,1,ELIZA_HAYWOOD -> LEWIS_THEOBALD [color=green weight=1]
ELIZA_HAYWOOD,RICHARD_SAVAGE,dissimilar,1,ELIZA_HAYWOOD -> RICHARD_SAVAGE [color=orange weight=1]
GILES_JACOB,ALEXANDER_POPE,attacked,4,GILES_JACOB -> ALEXANDER_POPE [color=red weight=16]
GILES_JACOB,ALEXANDER_POPE,defended,1,GILES_JACOB -> ALEXANDER_POPE [color=blue weight=1]
GILES_JACOB,AMBROSE_PHILLIPS,defended,1,GILES_JACOB -> AMBROSE_PHILLIPS [color=blue weight=1]
GILES_JACOB,EDMUND_CURLL,defended,1,GILES_JACOB -> EDMUND_CURLL [color=blue weight=1]
GILES_JACOB,EDWARD_WARD,defended,1,GILES_JACOB -> EDWARD_WARD [color=blue weight=1]
GILES_JACOB,EUSTACE_BUDGELL,defended,1,GILES_JACOB -> EUSTACE_BUDGELL [color=blue weight=1]
GILES_JACOB,JOHN_DENNIS,akin_to,2,GILES_JACOB -> JOHN_DENNIS [color=green weight=4]
GILES_JACOB,JOHN_DENNIS,defended,2,GILES_JACOB -> JOHN_DENNIS [color=blue weight=4]
GILES_JACOB,JOHN_GAY,attacked,1,GILES_JACOB -> JOHN_GAY [color=red weight=1]
GILES_JACOB,JOHN_OLDMIXON,defended,1,GILES_JACOB -> JOHN_OLDMIXON [color=blue weight=1]
GILES_JACOB,JOHN_OZELL,defended,2,GILES_JACOB -> JOHN_OZELL [color=blue weight=4]
GILES_JACOB,LAURENCE_EUSDEN,defended,1,GILES_JACOB -> LAURENCE_EUSDEN [color=blue weight=1]
GILES_JACOB,LEWIS_THEOBALD,defended,1,GILES_JACOB -> LEWIS_THEOBALD [color=blue weight=1]
GILES_JACOB,SUSANNA_CENTLIVRE,defended,1,GILES_JACOB -> SUSANNA_CENTLIVRE [color=blue weight=1]
JOHN_DENNIS,ALEXANDER_POPE,attacked,56,JOHN_DENNIS -> ALEXANDER_POPE [color=red weight=3136]
JOHN_DENNIS,A_BOYER,attacked,1,JOHN_DENNIS -> A_BOYER [color=red weight=1]
JOHN_DENNIS,A_MOORE,akin_to,1,JOHN_DENNIS -> A_MOORE [color=green weight=1]
JOHN_DENNIS,BAVIUS,defended,1,JOHN_DENNIS -> BAVIUS [color=blue weight=1]
JOHN_DENNIS,BB,akin_to,1,JOHN_DENNIS -> BB [color=green weight=1]
JOHN_DENNIS,BERNARD_LINTOT,akin_to,2,JOHN_DENNIS -> BERNARD_LINTOT [color=green weight=4]
JOHN_DENNIS,CHARLES_GILDON,akin_to,5,JOHN_DENNIS -> CHARLES_GILDON [color=green weight=25]
JOHN_DENNIS,COLLEY_CIBBER,akin_to,2,JOHN_DENNIS -> COLLEY_CIBBER [color=green weight=4]
JOHN_DENNIS,EDMUND_CURLL,akin_to,3,JOHN_DENNIS -> EDMUND_CURLL [color=green weight=9]
JOHN_DENNIS,ELKANAH_SETTLE,akin_to,1,JOHN_DENNIS -> ELKANAH_SETTLE [color=green weight=1]
JOHN_DENNIS,GEORGE_DUCKET,defended,1,JOHN_DENNIS -> GEORGE_DUCKET [color=blue weight=1]
JOHN_DENNIS,GEORGE_DUCKETT,akin_to,1,JOHN_DENNIS -> GEORGE_DUCKETT [color=green weight=1]
JOHN_DENNIS,GILES_JACOB,akin_to,3,JOHN_DENNIS -> GILES_JACOB [color=green weight=9]
JOHN_DENNIS,HILKIAH_BEDFORD,attacked,1,JOHN_DENNIS -> HILKIAH_BEDFORD [color=red weight=1]
JOHN_DENNIS,JEREMY_COLLIER,attacked,1,JOHN_DENNIS -> JEREMY_COLLIER [color=red weight=1]
JOHN_DENNIS,JOHN_ANSTIS,akin_to,1,JOHN_DENNIS -> JOHN_ANSTIS [color=green weight=1]
JOHN_DENNIS,JOHN_DRYDEN,attacked,2,JOHN_DENNIS -> JOHN_DRYDEN [color=red weight=4]
JOHN_DENNIS,JOHN_GAY,attacked,1,JOHN_DENNIS -> JOHN_GAY [color=red weight=1]
JOHN_DENNIS,JOHN_OLDMIXON,akin_to,2,JOHN_DENNIS -> JOHN_OLDMIXON [color=green weight=4]
JOHN_DENNIS,LEONARD_WELSTED,akin_to,1,JOHN_DENNIS -> LEONARD_WELSTED [color=green weight=1]
JOHN_DENNIS,LEONARD_WELSTED,defended,1,JOHN_DENNIS -> LEONARD_WELSTED [color=blue weight=1]
JOHN_DENNIS,LEWIS_THEOBALD,akin_to,5,JOHN_DENNIS -> LEWIS_THEOBALD [color=green weight=25]
JOHN_DENNIS,MATTHEW_CONCANEN,akin_to,1,JOHN_DENNIS -> MATTHEW_CONCANEN [color=green weight=1]
JOHN_DENNIS,RICHARD_BLACKMORE,akin_to,4,JOHN_DENNIS -> RICHARD_BLACKMORE [color=green weight=16]
JOHN_DENNIS,S_POPPING,akin_to,1,JOHN_DENNIS -> S_POPPING [color=green weight=1]
JOHN_DENNIS,THOMAS_COOKE,akin_to,1,JOHN_DENNIS -> THOMAS_COOKE [color=green weight=1]
JOHN_DENNIS,THOMAS_RYMER,akin_to,1,JOHN_DENNIS -> THOMAS_RYMER [color=green weight=1]
JOHN_DENNIS,TOM_DÍURFEY,akin_to,2,JOHN_DENNIS -> TOM_DÍURFEY [color=green weight=4]
JOHN_DENNIS,WILLIAM_LAW,attacked,4,JOHN_DENNIS -> WILLIAM_LAW [color=red weight=16]
JOHN_HENLEY,BENJAMIN_HOADLY,akin_to,1,JOHN_HENLEY -> BENJAMIN_HOADLY [color=green weight=1]
JOHN_HENLEY,EDMUND_GIBSON,akin_to,1,JOHN_HENLEY -> EDMUND_GIBSON [color=green weight=1]
JOHN_HENLEY,FRANCES_HARE,akin_to,1,JOHN_HENLEY -> FRANCES_HARE [color=green weight=1]
JOHN_HENLEY,JAMES_RALPH,akin_to,2,JOHN_HENLEY -> JAMES_RALPH [color=green weight=4]
JOHN_HENLEY,JOHN_TOLAND,akin_to,1,JOHN_HENLEY -> JOHN_TOLAND [color=green weight=1]
JOHN_HENLEY,LEONARD_WELSTED,akin_to,1,JOHN_HENLEY -> LEONARD_WELSTED [color=green weight=1]
JOHN_HENLEY,MATTHEW_TINDAL,akin_to,1,JOHN_HENLEY -> MATTHEW_TINDAL [color=green weight=1]
JOHN_HENLEY,RICHARD_BLACKMORE,akin_to,1,JOHN_HENLEY -> RICHARD_BLACKMORE [color=green weight=1]
JOHN_HENLEY,RICHARD_FLECKNOE,akin_to,1,JOHN_HENLEY -> RICHARD_FLECKNOE [color=green weight=1]
JOHN_HENLEY,THOMAS_SHERLOCK,akin_to,1,JOHN_HENLEY -> THOMAS_SHERLOCK [color=green weight=1]
JOHN_HENLEY,THOMAS_WOOLSTON,akin_to,1,JOHN_HENLEY -> THOMAS_WOOLSTON [color=green weight=1]
