index,full_name,n,label,dot
EDMUND_CURLL,Edmund Curll,131,Edmund<br/>Curll,EDMUND_CURLL [label=< Edmund<br/>Curll >]
JOHN_DENNIS,John Dennis,122,John<br/>Dennis,JOHN_DENNIS [label=< John<br/>Dennis >]
ALEXANDER_POPE,Alexander Pope,83,Alexander<br/>Pope,ALEXANDER_POPE [label=< Alexander<br/>Pope >]
COLLEY_CIBBER,Colley Cibber,78,Colley<br/>Cibber,COLLEY_CIBBER [label=< Colley<br/>Cibber >]
GILES_JACOB,Giles Jacob,24,Giles<br/>Jacob,GILES_JACOB [label=< Giles<br/>Jacob >]
LEWIS_THEOBALD,Lewis Theobald,17,Lewis<br/>Theobald,LEWIS_THEOBALD [label=< Lewis<br/>Theobald >]
JOHN_HENLEY,John Henley,13,John<br/>Henley,JOHN_HENLEY [label=< John<br/>Henley >]
ELIZA_HAYWOOD,Eliza Haywood,11,Eliza<br/>Haywood,ELIZA_HAYWOOD [label=< Eliza<br/>Haywood >]
DULNESS,Dulness,9,Dulness,DULNESS [label=< Dulness >]
RICHARD_BLACKMORE,Richard Blackmore,8,Richard<br/>Blackmore,RICHARD_BLACKMORE [label=< Richard<br/>Blackmore >]
BERNARD_LINTOT,Bernard Lintot,7,Bernard<br/>Lintot,BERNARD_LINTOT [label=< Bernard<br/>Lintot >]
CHARLES_GILDON,Charles Gildon,6,Charles<br/>Gildon,CHARLES_GILDON [label=< Charles<br/>Gildon >]
JOHN_GAY,John Gay,6,John<br/>Gay,JOHN_GAY [label=< John<br/>Gay >]
JOHN_OLDMIXON,John Oldmixon,6,John<br/>Oldmixon,JOHN_OLDMIXON [label=< John<br/>Oldmixon >]
LEONARD_WELSTED,Leonard Welsted,6,Leonard<br/>Welsted,LEONARD_WELSTED [label=< Leonard<br/>Welsted >]
THOMAS_COOKE,Thomas Cooke,5,Thomas<br/>Cooke,THOMAS_COOKE [label=< Thomas<br/>Cooke >]
JOSEPH_ADDISON,Joseph Addison,5,Joseph<br/>Addison,JOSEPH_ADDISON [label=< Joseph<br/>Addison >]
JOHN_DRYDEN,John Dryden,5,John<br/>Dryden,JOHN_DRYDEN [label=< John<br/>Dryden >]
JONATHAN_SWIFT,Jonathan Swift,4,Jonathan<br/>Swift,JONATHAN_SWIFT [label=< Jonathan<br/>Swift >]
EDWARD_WARD,Edward Ward,4,Edward<br/>Ward,EDWARD_WARD [label=< Edward<br/>Ward >]
ELKANAH_SETTLE,Elkanah Settle,4,Elkanah<br/>Settle,ELKANAH_SETTLE [label=< Elkanah<br/>Settle >]
WILLIAM_LAW,William Law,4,William<br/>Law,WILLIAM_LAW [label=< William<br/>Law >]
MATTHEW_PRIOR,Matthew Prior,4,Matthew<br/>Prior,MATTHEW_PRIOR [label=< Matthew<br/>Prior >]
LAURENCE_EUSDEN,Laurence Eusden,4,Laurence<br/>Eusden,LAURENCE_EUSDEN [label=< Laurence<br/>Eusden >]
JOHN_OZELL,John Ozell,4,John<br/>Ozell,JOHN_OZELL [label=< John<br/>Ozell >]
GEORGE_II,George II,3,George<br/>II,GEORGE_II [label=< George<br/>II >]
ELIZABETH_THOMAS,Elizabeth Thomas,3,Elizabeth<br/>Thomas,ELIZABETH_THOMAS [label=< Elizabeth<br/>Thomas >]
JOSEPH_GAY,Joseph Gay,3,Joseph<br/>Gay,JOSEPH_GAY [label=< Joseph<br/>Gay >]
BESALEEL_MORRIS,Besaleel Morris,3,Besaleel<br/>Morris,BESALEEL_MORRIS [label=< Besaleel<br/>Morris >]
JOHN_DURANT_BREVAL,John Durant Breval,3,John Durant<br/>Breval,JOHN_DURANT_BREVAL [label=< John Durant<br/>Breval >]
ABEL_ROPER,Abel Roper,3,Abel<br/>Roper,ABEL_ROPER [label=< Abel<br/>Roper >]
MATTHEW_CONCANEN,Matthew Concanen,3,Matthew<br/>Concanen,MATTHEW_CONCANEN [label=< Matthew<br/>Concanen >]
WILLIAM_CONGREVE,William Congreve,3,William<br/>Congreve,WILLIAM_CONGREVE [label=< William<br/>Congreve >]
SAMUEL_GARTH,Samuel Garth,2,Samuel<br/>Garth,SAMUEL_GARTH [label=< Samuel<br/>Garth >]
GEORGE_RIDPATH,George Ridpath,2,George<br/>Ridpath,GEORGE_RIDPATH [label=< George<br/>Ridpath >]
LADY_MARY_WORTLEY_MONTAGU,Lady Mary Wortley Montagu,2,Lady Mary<br/>Wortley Montagu,LADY_MARY_WORTLEY_MONTAGU [label=< Lady Mary<br/>Wortley Montagu >]
JOHN_DUNTON,John Dunton,2,John<br/>Dunton,JOHN_DUNTON [label=< John<br/>Dunton >]
GEORGE_DUCKETT,George Duckett,2,George<br/>Duckett,GEORGE_DUCKETT [label=< George<br/>Duckett >]
WILLIAM_MEARS,William Mears,2,William<br/>Mears,WILLIAM_MEARS [label=< William<br/>Mears >]
WILLIAM_BOND_,William Bond ,2,William Bond<br/>,WILLIAM_BOND_ [label=< William Bond<br/> >]
JOHN_TUTCHIN,John Tutchin,2,John<br/>Tutchin,JOHN_TUTCHIN [label=< John<br/>Tutchin >]
AMBROSE_PHILLIPS,Ambrose Phillips,2,Ambrose<br/>Phillips,AMBROSE_PHILLIPS [label=< Ambrose<br/>Phillips >]
MARTINUS_SCRIBLERUS,Martinus Scriblerus,2,Martinus<br/>Scriblerus,MARTINUS_SCRIBLERUS [label=< Martinus<br/>Scriblerus >]
ROBERT_WALPOLE,Robert Walpole,2,Robert<br/>Walpole,ROBERT_WALPOLE [label=< Robert<br/>Walpole >]
CAIUS_GABRIEL_CIBBER,Caius Gabriel Cibber,2,Caius Gabriel<br/>Cibber,CAIUS_GABRIEL_CIBBER [label=< Caius Gabriel<br/>Cibber >]
ISAAC_NEWTON,Isaac Newton,2,Isaac<br/>Newton,ISAAC_NEWTON [label=< Isaac<br/>Newton >]
JAMES_RALPH,James Ralph,2,James<br/>Ralph,JAMES_RALPH [label=< James<br/>Ralph >]
JOHN_LOCKE,John Locke,2,John<br/>Locke,JOHN_LOCKE [label=< John<br/>Locke >]
CAMILLO_QUERNO,Camillo Querno,2,Camillo<br/>Querno,CAMILLO_QUERNO [label=< Camillo<br/>Querno >]
RICHARD_BENTLEY,Richard Bentley,2,Richard<br/>Bentley,RICHARD_BENTLEY [label=< Richard<br/>Bentley >]
TOM_DÍURFEY,Tom DíUrfey,2,Tom<br/>DíUrfey,TOM_DÍURFEY [label=< Tom<br/>DíUrfey >]
PHILIP_DORMER_STANHOPE,Philip Dormer Stanhope,2,Philip Dormer<br/>Stanhope,PHILIP_DORMER_STANHOPE [label=< Philip Dormer<br/>Stanhope >]
JOHN_ATTERBURY,John Atterbury,1,John<br/>Atterbury,JOHN_ATTERBURY [label=< John<br/>Atterbury >]
JOHN_TOLAND,John Toland,1,John<br/>Toland,JOHN_TOLAND [label=< John<br/>Toland >]
FRANCES_HARE,Frances Hare,1,Frances<br/>Hare,FRANCES_HARE [label=< Frances<br/>Hare >]
MATTHEW_TINDAL,Matthew Tindal,1,Matthew<br/>Tindal,MATTHEW_TINDAL [label=< Matthew<br/>Tindal >]
WHITE_KENNETH,White Kenneth,1,White<br/>Kenneth,WHITE_KENNETH [label=< White<br/>Kenneth >]
THOMAS_WOOLSTON,Thomas Woolston,1,Thomas<br/>Woolston,THOMAS_WOOLSTON [label=< Thomas<br/>Woolston >]
WILLIAM_CAVENDISH,William Cavendish,1,William<br/>Cavendish,WILLIAM_CAVENDISH [label=< William<br/>Cavendish >]
EDMUND_GIBSON,Edmund Gibson,1,Edmund<br/>Gibson,EDMUND_GIBSON [label=< Edmund<br/>Gibson >]
BENJAMIN_HOADLY,Benjamin Hoadly,1,Benjamin<br/>Hoadly,BENJAMIN_HOADLY [label=< Benjamin<br/>Hoadly >]
ISAAC_BARROW,Isaac Barrow,1,Isaac<br/>Barrow,ISAAC_BARROW [label=< Isaac<br/>Barrow >]
RICHARD_SAVAGE,Richard Savage,1,Richard<br/>Savage,RICHARD_SAVAGE [label=< Richard<br/>Savage >]
A_BOYER,A Boyer,1,A<br/>Boyer,A_BOYER [label=< A<br/>Boyer >]
RICHARD_FLECKNOE,Richard Flecknoe,1,Richard<br/>Flecknoe,RICHARD_FLECKNOE [label=< Richard<br/>Flecknoe >]
ANNE_TANNEGUYLE_FEVRE_DACIER,Anne Tanneguy-Le Fevre Dacier,1,Anne Tanneguy-Le<br/>Fevre Dacier,ANNE_TANNEGUYLE_FEVRE_DACIER [label=< Anne Tanneguy-Le<br/>Fevre Dacier >]
WILLIAM_BOND,William Bond,1,William<br/>Bond,WILLIAM_BOND [label=< William<br/>Bond >]
ELISHA_KIRKALL,Elisha Kirkall,1,Elisha<br/>Kirkall,ELISHA_KIRKALL [label=< Elisha<br/>Kirkall >]
BB,B.B.,1,B.B.,BB [label=< B.B. >]
EUSTACE_BUDGELL,Eustace Budgell,1,Eustace<br/>Budgell,EUSTACE_BUDGELL [label=< Eustace<br/>Budgell >]
THOMAS_RYMER,Thomas Rymer,1,Thomas<br/>Rymer,THOMAS_RYMER [label=< Thomas<br/>Rymer >]
SUSANNA_CENTLIVRE,Susanna Centlivre,1,Susanna<br/>Centlivre,SUSANNA_CENTLIVRE [label=< Susanna<br/>Centlivre >]
A_MOORE,A Moore,1,A<br/>Moore,A_MOORE [label=< A<br/>Moore >]
JOHN_ANSTIS,John Anstis,1,John<br/>Anstis,JOHN_ANSTIS [label=< John<br/>Anstis >]
S_POPPING,S Popping,1,S<br/>Popping,S_POPPING [label=< S<br/>Popping >]
BAVIUS,Bavius,1,Bavius,BAVIUS [label=< Bavius >]
GEORGE_DUCKET,George Ducket,1,George<br/>Ducket,GEORGE_DUCKET [label=< George<br/>Ducket >]
JEREMY_COLLIER,Jeremy Collier,1,Jeremy<br/>Collier,JEREMY_COLLIER [label=< Jeremy<br/>Collier >]
HILKIAH_BEDFORD,Hilkiah Bedford,1,Hilkiah<br/>Bedford,HILKIAH_BEDFORD [label=< Hilkiah<br/>Bedford >]
JAMESMOORE_SMITH,James-Moore Smith,1,James-Moore<br/>Smith,JAMESMOORE_SMITH [label=< James-Moore<br/>Smith >]
JOSEPH_GAY_AKA_JOHN_DURANT_BREVAL,Joseph Gay (aka John Durant Breval),1,Joseph Gay (aka<br/>John Durant Breval),JOSEPH_GAY_AKA_JOHN_DURANT_BREVAL [label=< Joseph Gay (aka<br/>John Durant Breval) >]
JAMES_MOORE_SMYTHE,James Moore Smythe,1,James Moore<br/>Smythe,JAMES_MOORE_SMYTHE [label=< James Moore<br/>Smythe >]
STEPHEN_DUCK,Stephen Duck,1,Stephen<br/>Duck,STEPHEN_DUCK [label=< Stephen<br/>Duck >]
GEORGE_ETHEREGE,George Etherege,1,George<br/>Etherege,GEORGE_ETHEREGE [label=< George<br/>Etherege >]
THOMAS_ARCHER,Thomas Archer,1,Thomas<br/>Archer,THOMAS_ARCHER [label=< Thomas<br/>Archer >]
GEORGE_I,George I,1,George<br/>I,GEORGE_I [label=< George<br/>I >]
JOHN_BANKS,John Banks,1,John<br/>Banks,JOHN_BANKS [label=< John<br/>Banks >]
WILLIAM_BROOME,William Broome,1,William<br/>Broome,WILLIAM_BROOME [label=< William<br/>Broome >]
FRANCIS_ATTERBURY,Francis Atterbury,1,Francis<br/>Atterbury,FRANCIS_ATTERBURY [label=< Francis<br/>Atterbury >]
ISSAC_BARROW,Issac Barrow,1,Issac<br/>Barrow,ISSAC_BARROW [label=< Issac<br/>Barrow >]
JOHN_GARTH,John Garth,1,John<br/>Garth,JOHN_GARTH [label=< John<br/>Garth >]
CARDELL_GOODMAN,Cardell Goodman,1,Cardell<br/>Goodman,CARDELL_GOODMAN [label=< Cardell<br/>Goodman >]
BARTON_BOOTH,Barton Booth,1,Barton<br/>Booth,BARTON_BOOTH [label=< Barton<br/>Booth >]
CHARLES_FLEETWOOD,Charles Fleetwood,1,Charles<br/>Fleetwood,CHARLES_FLEETWOOD [label=< Charles<br/>Fleetwood >]
HENRY_JANSSEN,Henry Janssen,1,Henry<br/>Janssen,HENRY_JANSSEN [label=< Henry<br/>Janssen >]
JOHN_FLETCHER,John Fletcher,1,John<br/>Fletcher,JOHN_FLETCHER [label=< John<br/>Fletcher >]
LORD_BISHOP_OF_LONDON,Lord Bishop of London,1,Lord Bishop<br/>of London,LORD_BISHOP_OF_LONDON [label=< Lord Bishop<br/>of London >]
WILLIAM_TEMPLE,William Temple,1,William<br/>Temple,WILLIAM_TEMPLE [label=< William<br/>Temple >]
JOHN_HERVEY,John Hervey,1,John<br/>Hervey,JOHN_HERVEY [label=< John<br/>Hervey >]
HENRY_CURLL,Henry Curll,1,Henry<br/>Curll,HENRY_CURLL [label=< Henry<br/>Curll >]
THOMAS_OSBORNE,Thomas Osborne,1,Thomas<br/>Osborne,THOMAS_OSBORNE [label=< Thomas<br/>Osborne >]
CLOACINA,Cloacina,1,Cloacina,CLOACINA [label=< Cloacina >]
EDWARD_YOUNG,Edward Young,1,Edward<br/>Young,EDWARD_YOUNG [label=< Edward<br/>Young >]
ABEL_EVANS,Abel Evans,1,Abel<br/>Evans,ABEL_EVANS [label=< Abel<br/>Evans >]
HENRY_CROMWELL,Henry Cromwell,1,Henry<br/>Cromwell,HENRY_CROMWELL [label=< Henry<br/>Cromwell >]
WILLIAM_WYCHERLEY,William Wycherley,1,William<br/>Wycherley,WILLIAM_WYCHERLEY [label=< William<br/>Wycherley >]
THOMAS_WARNER,Thomas Warner,1,Thomas<br/>Warner,THOMAS_WARNER [label=< Thomas<br/>Warner >]
WILLIAM_WILKINS,William Wilkins,1,William<br/>Wilkins,WILLIAM_WILKINS [label=< William<br/>Wilkins >]
TOUSSAINT_EDMOND_DE_SAINTMARD,Toussaint Edmond de Saint-Mard,1,Toussaint Edmond<br/>de Saint-Mard,TOUSSAINT_EDMOND_DE_SAINTMARD [label=< Toussaint Edmond<br/>de Saint-Mard >]
DANIEL_DEFOE,Daniel Defoe,1,Daniel<br/>Defoe,DANIEL_DEFOE [label=< Daniel<br/>Defoe >]
JOHN_ARBUTHNOT,John Arbuthnot,1,John<br/>Arbuthnot,JOHN_ARBUTHNOT [label=< John<br/>Arbuthnot >]
THOMAS_SHERLOCK,Thomas Sherlock,1,Thomas<br/>Sherlock,THOMAS_SHERLOCK [label=< Thomas<br/>Sherlock >]
