fullname,len
A Boyer,7
A Moore,7
Abel Evans,10
Alexander Pope,14
Ambrose Phillips,16
Anne Tanneguy,13
B.B.,4
Barton Booth,12
Bavius,6
Benjamin Hoadly,15
Bernard Lintot,14
Caius Gabriel Cibber,20
Camillo Querno,14
Cardell Goodman,15
Charles Fleetwood,17
Charles Gildon,14
Cloacina,8
Colley Cibber,13
Dulness,7
Edmund Curll,12
Edmund Gibson,13
Edward Ward,11
Edward Young,12
Elisha Kirkall,14
Eliza Haywood,13
Elizabeth Thomas,16
Elkanah Settle,14
Eustace Budgell,15
Frances Hare,12
Francis Atterbury,17
George Ducket,13
George Duckett,14
George Etherege,15
George I,8
George II,9
Giles Jacob,11
Henry Cromwell,14
Henry Curll,11
Henry Janssen,13
Hilkiah Bedford,15
Isaac Newton,12
Issac Barrow,12
James Ralph,11
James-Moore Smith,17
Jeremy Collier,14
John Anstis,11
John Banks,10
John Dennis,11
John Dryden,11
John Fletcher,13
John Garth,10
John Gay,8
John Henley,11
John Hervey,11
John Locke,10
John Oldmixon,13
John Ozell,10
John Toland,11
Jonathan Swift,14
Joseph Addison,14
Joseph Gay,10
Lady Mary Wortley Montagu,25
Laurence Eusden,15
Leonard Welsted,15
Lewis Theobald,14
Lord Bishop of London,21
Martinus Scriblerus,19
Matthew Concanen,16
Matthew Prior,13
Matthew Tindal,14
Philip Dormer Stanhope,22
Richard Bentley,15
Richard Blackmore,17
Richard Flecknoe,16
Richard Savage,14
Robert Walpole,14
S Popping,9
Stephen Duck,12
Susanna Centlivre,17
Thomas Archer,13
Thomas Cooke,12
Thomas Osborne,14
Thomas Rymer,12
Thomas Sherlock,15
Thomas Woolston,15
Tom DÃ­Urfey,11
William Broome,14
William Congreve,16
William Law,11
William Temple,14
William Wycherley,17
